0.02248	-0.00107	-1.82305	-6.15349
-0.01246	0.02783	-2.0688	-6.01468
-0.0663	0.04853	-2.33759	-5.84276
-0.09987	0.05702	-2.5855	-5.63088
-0.14794	0.08124	-2.85134	-5.44312
-0.19609	0.06769	-3.10179	-5.20931
-0.25194	0.06003	-3.35772	-4.9751
-0.29862	0.02008	-3.57509	-4.71278
-0.35084	-0.00682	-3.78527	-4.41378
-0.40834	-0.10087	-3.97471	-4.17272
-0.46064	-0.20553	-4.15803	-3.88637
-0.50737	-0.35221	-4.29806	-3.57767
-0.53532	-0.54386	-4.41937	-3.29464
-0.57325	-0.75724	-4.52045	-2.99132
-0.60185	-1.01817	-4.59459	-2.68876
-0.61952	-1.33119	-4.61887	-2.40519
-0.63837	-1.67327	-4.64278	-2.13153
-0.64603	-2.05708	-4.62348	-1.87545
-0.64208	-2.44684	-4.56137	-1.61051
-0.63338	-2.89053	-4.50695	-1.36782
-0.62163	-3.33984	-4.417	-1.15181
-0.58756	-3.80338	-4.31641	-0.94966
-0.56451	-4.276	-4.18584	-0.75703
-0.52742	-4.75524	-4.04131	-0.59519
-0.49784	-5.21585	-3.87717	-0.45026
-0.45579	-5.66939	-3.7074	-0.34322
-0.41079	-6.09329	-3.50367	-0.2214
-0.37105	-6.50306	-3.31194	-0.12961
-0.3207	-6.89615	-3.09418	-0.04283
-0.28103	-7.24563	-2.88486	0.01763
-0.23742	-7.5724	-2.65632	0.06761
-0.35971	-7.70994	-2.38423	0.03895
-0.48179	-7.79831	-2.1022	0.07113
-0.64242	-7.88282	-1.85163	0.06893
-0.81548	-7.9121	-1.60518	0.0862
-1.00551	-7.92176	-1.37504	0.07282
-1.20083	-7.88291	-1.1625	0.10248
-1.4359	-7.80056	-0.96966	0.09562
-1.67036	-7.71152	-0.79398	0.11303
-1.9043	-7.58704	-0.63774	0.10696
-2.16334	-7.41458	-0.49527	0.09568
-2.42941	-7.21702	-0.37889	0.12134
-2.69681	-6.99037	-0.27361	0.12859
-2.93987	-6.75344	-0.18238	0.13537
-3.18202	-6.46798	-0.10689	0.16149
-3.45415	-6.17539	-0.05288	0.15405
-3.69323	-5.8663	-0.06892	0.1247
-3.92235	-5.54269	-0.09285	0.09215
-4.15464	-5.21066	-0.12337	0.04998
-4.35792	-4.85349	-0.15551	-0.01167
