0.1371	-0.0196	-2.61178	-6.00693
0.13738	-0.00112	-2.92654	-5.84924
0.11544	0.03069	-3.23983	-5.68507
0.08962	0.04469	-3.56562	-5.4974
0.06334	0.05707	-3.873	-5.27303
0.05337	0.06275	-4.15055	-5.07518
0.02275	0.05952	-4.43158	-4.83002
0.00733	0.04102	-4.67742	-4.56618
-0.01479	0.01883	-4.92066	-4.28138
-0.06222	-0.05233	-5.13209	-4.00164
-0.07804	-0.13898	-5.31173	-3.72269
-0.10063	-0.26547	-5.46775	-3.44108
-0.11861	-0.42571	-5.58214	-3.15068
-0.13875	-0.61309	-5.67316	-2.85019
-0.15782	-0.84846	-5.73617	-2.54502
-0.16489	-1.1133	-5.7736	-2.2643
-0.1749	-1.43311	-5.77152	-2.00058
-0.18811	-1.77082	-5.74394	-1.73311
-0.17456	-2.14695	-5.68664	-1.49193
-0.16295	-2.53046	-5.61262	-1.27249
-0.17436	-2.94435	-5.52268	-1.03222
-0.15684	-3.38377	-5.40384	-0.85258
-0.14957	-3.82864	-5.25251	-0.6764
-0.12312	-4.275	-5.08356	-0.49812
-0.12422	-4.70984	-4.90569	-0.37686
-0.0954	-5.14671	-4.71284	-0.27673
-0.0064	-5.33358	-4.80822	-0.14577
0.05597	-5.46233	-4.87198	-0.07139
0.10352	-5.52508	-4.89712	0.0042
0.11792	-5.54344	-4.86716	0.05911
0.13955	-5.50088	-4.80462	0.10779
0.1354	-5.14103	-5.03526	0.10498
0.13571	-4.77107	-5.23473	0.11225
0.13572	-4.39618	-5.42342	0.14934
0.12814	-4.03821	-5.59171	0.12317
0.11729	-3.66208	-5.7388	0.13273
0.11599	-3.07966	-6.19591	0.1076
0.10519	-2.53201	-6.62639	0.10568
0.09826	-2.03449	-7.03096	0.07652
0.09331	-1.55435	-7.39818	0.05752
0.08617	-1.16377	-7.73496	0.04858
0.08703	-0.99949	-7.9833	0.00997
0.1009	-0.84188	-8.20068	-0.02219
0.08616	-0.69928	-8.40727	-0.05484
0.09117	-0.55214	-8.58884	-0.13612
0.08383	-0.43276	-8.7371	-0.20404
0.1018	-0.3119	-8.86497	-0.26689
0.0895	-0.22006	-8.9917	-0.36173
0.09507	-0.14138	-9.08021	-0.45062
0.09663	-0.08235	-9.13025	-0.5575
0.09168	-0.03962	-9.16638	-0.68322
0.08897	-0.00594	-9.1715	-0.77415
0.08526	0.01603	-9.17118	-0.92686
0.08505	0.03575	-9.12019	-1.04663
0.08772	0.02576	-9.03421	-1.18726
0.0871	0.02101	-8.91558	-1.32827
0.06715	0.01386	-8.76111	-1.46138
0.05844	-0.00772	-8.56219	-1.61308
0.06313	-0.04386	-8.34479	-1.75648
0.05656	-0.0631	-8.06751	-1.90189
0.04987	-0.08361	-7.76648	-2.02884
0.03898	-0.12437	-7.43167	-2.13748
0.04325	-0.12802	-7.04513	-2.23924
0.02902	-0.16069	-6.62939	-2.35681
0.03394	-0.18895	-6.19544	-2.45101
0.03555	-0.20798	-5.74004	-2.51345
